scene_position,Alien_Unknown,Friday-the-13th_Unknown,Get-Out_Unknown,Halloween_Unknown,Jaws_Unknown,Psycho_Unknown,Saw_Unknown,Scream_Unknown
0,0.8,0.088888889,0.233333333,0.211111111,0.13,0.15,0.633333333,0.5
10,,0.2,0.2125,0.255555556,0.1125,0.335,0.5,0.616666667
20,0.2,0.025,0.1,0.455555556,0.3,0.435,0.5,0.433333333
30,,0.1,0.2625,0.466666667,0.3,0.4,0.566666667,0.388888889
40,,0.222222222,0.311111111,0.233333333,0.32,0.6,0.7,0.444444444
50,0.3,0.388888889,0.2,0.4375,0,0.314285714,0.7,0.411111111
60,,0.233333333,0.3125,0.65,0.433333333,0.5625,0.7,0.244444444
70,0.2,0.5125,0.2875,0.366666667,0.275,0.4125,0.6,0.34
80,,0.511111111,0.442857143,0.627777778,0.45,0.305,0.75,0.6
90,,0.725,0.785714286,0.794444444,0.6,0.46,0.9,0.82
100,0.1,0.2,0.5,0.6,0.8,0.7,0.8,0.8
