scene_position,28-Days-Later_Unknown,A-Quiet-Place_Unknown,Alien-3_Unknown,Alien-Resurrection_Unknown,Alien_Unknown,Aliens_Unknown,Alone-in-the-Dark_Unknown,American-Psycho_Unknown,American-Werewolf-in-London_Unknown,Army-of-Darkness_Unknown,Bad-Dreams_Unknown,Blade-II_Unknown,Blade-Trinity_Unknown,Blade_Unknown,Bones_Unknown,Buffy-the-Vampire-Slayer_Unknown,Carrie_Unknown,Case-39_Unknown,Chasing-Sleep_Unknown,Cherry-Falls_Unknown,Constantine_Unknown,Copycat_Unknown,Cube_Unknown,Dawn-of-the-Dead_Unknown,Day-of-the-Dead_Unknown,Deep-Rising_Unknown,Drag-Me-to-Hell_Unknown,Eight-Legged-Freaks_Unknown,Event-Horizon_Unknown,Evil-Dead-II-Dead-by-Dawn_Unknown,Evil-Dead_Unknown,Feast_Unknown,Final-Destination-2_Unknown,Final-Destination_Unknown,Friday-the-13th-Part-VIII-Jason-Takes-Manhattan_Unknown,Friday-the-13th_Unknown,Fright-Night_Unknown,From-Dusk-Till-Dawn_Unknown,Get-Out_Unknown,Ghost-Ship_Unknown,Gothika_Unknown,Grabbers_Unknown,Gremlins-2_Unknown,Gremlins_Unknown,Halloween-The-Curse-of-Michael-Myers_Unknown,Halloween_Unknown,Hannibal_Unknown,Heavenly-Creatures_Unknown,Heavy-Metal_Unknown,Hellbound-Hellraiser-II_Unknown,Hellboy_Unknown,Hellraiser-3-Hell-on-Earth_Unknown,Hellraiser-Deader_Unknown,Hellraiser-Hellseeker_Unknown,Hellraiser_Unknown,Hollow-Man_Unknown,House-of-1000-Corpses_Unknown,I-Spit-on-Your-Grave_Unknown,I-Still-Know-What-You-Did-Last-Summer_Unknown,Insidious_Unknown,Interview-with-the-Vampire_Unknown,It_Unknown,Jason-X_Unknown,Jaws-2_Unknown,Jaws_Unknown,Jurassic-Park-III_Unknown,Jurassic-Park-The-Lost-World_Unknown,Jurassic-Park_Unknown,Lake-Placid_Unknown,Land-of-the-Dead_Unknown,Legion_Unknown,Leprechaun-2_Unknown,Leviathan_Unknown,Little-Nicky_Unknown,Lord-of-Illusions_Unknown,Lost-Highway_Unknown,Malignant_Unknown,Manhunter_Unknown,Mimic_Unknown,Mirrors_Unknown,Misery_Unknown,Mulholland-Drive_Unknown,Mute-Witness_Unknown,Nightbreed_Unknown,Nightmare-on-Elm-Street-The-Final-Chapter_Unknown,No-One-Will-Save-You_Unknown,Orgy-of-the-Dead_Unknown,Orphan_Unknown,Pandorum_Unknown,Peeping-Tom_Unknown,Perfect-Creature_Unknown,Pet-Sematary-II_Unknown,Pet-Sematary_Unknown,Pitch-Black_Unknown,Predator_Unknown,Priest_Unknown,Prom-Night_Unknown,Psycho_Unknown,Queen-of-the-Damned_Unknown,Red-Riding-Hood_Unknown,Resident-Evil_Unknown,Ringu_Unknown,Saw-IV_Unknown,Saw_Unknown,Scream-2_Unknown,Scream-3_Unknown,Scream-4_Unknown,Scream_Unknown,Serial-Mom_Unknown,Shivers_Unknown,Signs_Unknown,Silence-of-the-Lambs_Unknown,Silver-Bullet_Unknown,Sleepy-Hollow_Unknown,Slither_Unknown,Stir-of-Echoes_Unknown,Suspect-Zero_Unknown,Sweeney-Todd-The-Demon-Barber-of-Fleet-Street_Unknown,Taking-Lives_Unknown,The-Rage-Carrie-2_Unknown,They_Unknown,Timber-Falls_Unknown,Tremors_Unknown,Tucker-and-Dale-vs-Evil_Unknown,Twilight-New-Moon_Unknown,Twin-Peaks_Unknown,What-Lies-Beneath_Unknown,When-a-Stranger-Calls_Unknown,Wind-Chill_Unknown
0.0000,0.0000,0.2000,0.1000,0.5000,0.7000,0.3000,0.9000,0.0000,0.0000,0.6000,0.0000,0.1000,0.0000,0.8000,0.9000,0.0000,0.0000,0.7000,0.5000,0.0000,0.5000,0.0000,0.5000,0.5000,0.3000,0.2000,0.0000,0.0000,0.7000,0.7000,0.4000,0.0000,0.7000,0.3000,0.1000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.0000,0.0000,0.0000,0.0000,0.5000,0.1000,0.1000,0.7000,0.0000,0.7000,0.8000,0.1000,0.0000,0.6000,0.1000,0.3000,0.0000,0.6000,0.1000,0.0000,0.0000,0.0000,0.0000,0.3000,0.5000,0.3000,0.7000,0.2000,0.0000,0.0000,0.1000,0.7000,0.0000,0.5000,0.7000,0.0000,0.0000,0.0000,0.1000,0.3000,0.0000,0.3000,0.0000,0.1000,0.0000,0.1000,0.7000,0.0000,0.0000,,0.7000,0.0000,0.1000,0.5000,0.6000,0.6000,,0.5000,0.9000,0.0000,0.2000,0.0000,0.2000,0.0000,0.0000,0.3000,0.7000,0.0000,0.0000,0.0000,0.0000,0.1000,0.7000,0.0000,0.5000,0.0000,0.8000,0.0000,0.9000,0.0000,0.3000,0.5000,0.0000,0.0000
0.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,
0.6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000,,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7000,,,,,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,
0.7300,,,,,,,,,,,,,,,,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8000,,,,,,,,,,,,,,,,,
0.7600,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
