film_title,Total_Scenes,Avg_Tension,Avg_Fear,Avg_Sentiment,Total_Dialogue_Words,Total_Action_Words,Dialogue_to_Action_Ratio,Total_Horror_Signals
Sweeney-Todd-The-Demon-Barber-of-Fleet-Street_Unknown,1,0.8,0.7,-0.5,40,150,0.27,5
Evil-Dead-II-Dead-by-Dawn_Unknown,12,0.75,0.658,-0.417,168,1500,0.11,37
Cube_Unknown,2,0.75,0.6,-0.4,66,338,0.2,6
Resident-Evil_Unknown,7,0.729,0.557,-0.229,702,929,0.76,14
Saw_Unknown,20,0.645,0.515,-0.265,1775,2219,0.8,56
Day-of-the-Dead_Unknown,7,0.643,0.514,-0.271,531,1084,0.49,31
Dawn-of-the-Dead_Unknown,1,0.7,0.5,-0.2,16,155,0.1,0
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan_Unknown,126,0.572,0.499,-0.213,4828,7774,0.62,170
Deep-Rising_Unknown,101,0.648,0.483,-0.218,3958,7490,0.53,193
Pandorum_Unknown,99,0.553,0.454,-0.188,7341,6084,1.21,98
Legion_Unknown,70,0.587,0.45,-0.24,4600,4810,0.96,103
Timber-Falls_Unknown,8,0.538,0.45,-0.2,620,1113,0.56,21
Alien-Resurrection_Unknown,76,0.582,0.443,-0.239,4182,6275,0.67,112
Nightbreed_Unknown,33,0.579,0.433,-0.158,2396,3065,0.78,79
Malignant_Unknown,129,0.539,0.433,-0.209,7258,8065,0.9,165
Predator_Unknown,72,0.612,0.426,-0.133,2360,8256,0.29,152
Alien-3_Unknown,44,0.54,0.426,-0.13,3356,4409,0.76,87
Nightmare-on-Elm-Street-The-Final-Chapter_Unknown,75,0.521,0.421,-0.195,4862,6025,0.81,100
Blade-II_Unknown,107,0.591,0.421,-0.137,3939,8414,0.47,189
Leviathan_Unknown,21,0.548,0.419,-0.095,1722,2145,0.8,36
Scream-3_Unknown,53,0.534,0.416,-0.208,5889,2734,2.15,116
Halloween-The-Curse-of-Michael-Myers_Unknown,114,0.51,0.412,-0.162,4645,6881,0.68,194
They_Unknown,102,0.492,0.405,-0.156,5453,6732,0.81,140
Final-Destination_Unknown,90,0.536,0.403,-0.12,3965,6957,0.57,152
Hellraiser-Deader_Unknown,109,0.503,0.401,-0.171,5980,6887,0.87,156
Evil-Dead_Unknown,1,0.5,0.4,-0.2,0,100,0.0,1
Wind-Chill_Unknown,2,0.45,0.4,-0.1,32,467,0.07,5
Aliens_Unknown,139,0.517,0.398,-0.113,7116,8863,0.8,111
Blade_Unknown,86,0.592,0.397,-0.14,5146,5932,0.87,168
Land-of-the-Dead_Unknown,99,0.553,0.397,-0.149,4396,5045,0.87,181
Event-Horizon_Unknown,118,0.539,0.394,-0.156,6697,4628,1.45,90
Slither_Unknown,115,0.47,0.391,-0.148,5075,7499,0.68,163
Insidious_Unknown,98,0.46,0.384,-0.08,5597,5485,1.02,116
Jurassic-Park-The-Lost-World_Unknown,80,0.499,0.381,-0.051,5122,7282,0.7,94
Mirrors_Unknown,37,0.511,0.378,-0.114,2573,4044,0.64,58
Alone-in-the-Dark_Unknown,94,0.542,0.377,-0.105,3610,7998,0.45,104
Hellraiser_Unknown,8,0.562,0.375,-0.162,417,995,0.42,23
Fright-Night_Unknown,91,0.474,0.375,-0.085,6318,4530,1.39,104
Queen-of-the-Damned_Unknown,27,0.556,0.374,0.0,1302,3855,0.34,85
Saw-IV_Unknown,114,0.548,0.371,-0.182,4722,6108,0.77,121
Priest_Unknown,109,0.521,0.37,-0.122,5428,7154,0.76,127
Tucker-and-Dale-vs-Evil_Unknown,80,0.495,0.368,-0.146,5821,3944,1.48,136
Leprechaun-2_Unknown,12,0.525,0.367,-0.1,900,1135,0.79,27
Lord-of-Illusions_Unknown,100,0.475,0.365,-0.126,5580,4725,1.18,158
Scream-2_Unknown,58,0.484,0.365,-0.109,4840,3479,1.39,73
I-Still-Know-What-You-Did-Last-Summer_Unknown,61,0.457,0.363,-0.064,4154,4811,0.86,107
Tremors_Unknown,8,0.475,0.362,0.138,793,759,1.04,8
Scream_Unknown,83,0.464,0.36,-0.078,6178,4181,1.48,117
Jason-X_Unknown,110,0.482,0.358,-0.12,6440,4637,1.39,98
Feast_Unknown,51,0.467,0.357,-0.08,3348,2569,1.3,72
