film_title,scene_index,heading,characters,dialogue_lines,dialogue_words,dialogue_q_rate,dialogue_excl_rate
28-Days-Later_Unknown,0,CLOSE ON A MONITOR SCREEN,,0,0,0.0,0.0
28-Days-Later_Unknown,1,INT. SURGICAL CHAMBER - NIGHT,,0,0,0.0,0.0
28-Days-Later_Unknown,2,INT. LABORATORY - NIGHT,CHIEF ACTIVIST|FEMALE ACTIVIST|FINNISH ACTIVIST|SCIENTIST,6,66,0.0,0.1667
28-Days-Later_Unknown,3,INT. CORRIDOR - NIGHT,ACTIVIST,3,22,0.3333,0.0
28-Days-Later_Unknown,4,INT. HOSPITAL ROOM - LATE AFTERNOON,Jim,1,2,0.0,0.0
28-Days-Later_Unknown,5,INT. COMA WARD - LATE AFTERNOON,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,6,INT. HOSPITAL WARDS - LATE AFTERNOON,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,7,EXT. LONDON - SUNDOWN,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,8,INT. CHURCH - NIGHT,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,9,INT. CHURCH - GALLERY LEVEL - NIGHT,Jim|Infected Priest,4,36,0.5,0.25
28-Days-Later_Unknown,10,EXT. CENTRAL LONDON ROAD - NIGHT,Jim|Selena|Mark,2,12,0.0,0.0
28-Days-Later_Unknown,11,INT. SHOP - NIGHT,Selena|Mark,0,0,0.0,0.0
28-Days-Later_Unknown,12,INT. NEWSAGENT - NIGHT,Jim|Mark|Selena,12,204,0.25,0.0
28-Days-Later_Unknown,13,EXT. TRAIN TRACKS - DAY,Jim|Mark|Selena,6,104,0.0,0.0
28-Days-Later_Unknown,14,EXT. WESTLINK STREET - DAY,Jim|Selena|Mark,4,36,0.0,0.0
28-Days-Later_Unknown,15,INT. HOUSE - DAY,Jim|Selena|Mark,5,85,0.0,0.0
28-Days-Later_Unknown,16,INT. LIVING ROOM - DAY,Jim|Selena|Mark,10,218,0.1,0.1
28-Days-Later_Unknown,17,INT. HOUSE - NIGHT,Jim|Selena|Mark,0,0,0.0,0.0
28-Days-Later_Unknown,18,INT. KITCHEN - NIGHT,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,19,EXT. LONDON ROAD - NIGHT,Jim|Selena,8,155,0.25,0.0
28-Days-Later_Unknown,20,INT. TOWER BLOCK - NIGHT,Jim|Selena,1,19,0.0,0.0
28-Days-Later_Unknown,21,INT. TOWER BLOCK - NIGHT,Jim|Selena,8,114,0.125,0.125
28-Days-Later_Unknown,22,INT. STAIRS - NIGHT,Jim|Selena,2,15,0.0,0.0
