film_title,scene_index,heading,tension_score,fear_emotion,sentiment,scene_summary
28-Days-Later_Unknown,0,CLOSE ON A MONITOR SCREEN,0.0,0.0,0.0,The scene opens with a close-up of a monitor displaying violent images from a war.
28-Days-Later_Unknown,1,INT. SURGICAL CHAMBER - NIGHT,0.0,0.0,0.0,"In a surgical chamber at night, a chimp is seen strapped to an operating table with its skull opened."
28-Days-Later_Unknown,2,INT. LABORATORY - NIGHT,0.5,0.5,-0.5,"Activists enter a dark laboratory at night, discovering a dissected chimp and facing the horror of the situation."
28-Days-Later_Unknown,3,INT. CORRIDOR - NIGHT,0.7,0.7,-0.7,"An activist approaches the lab, only to be overwhelmed by the horrifying sounds and sights of the infected."
28-Days-Later_Unknown,4,INT. HOSPITAL ROOM - LATE AFTERNOON,0.1,0.1,0.2,"Jim wakes up in a hospital room, confused and weak, and struggles to stand up."
28-Days-Later_Unknown,5,INT. COMA WARD - LATE AFTERNOON,0.2,0.2,0.1,Jim finds the door to the coma ward locked and hears unsettling sounds from inside.
28-Days-Later_Unknown,6,INT. HOSPITAL WARDS - LATE AFTERNOON,0.3,0.3,-0.1,"Jim navigates through the deserted hospital, encountering signs of chaos and dried blood."
28-Days-Later_Unknown,7,EXT. LONDON - SUNDOWN,0.4,0.4,-0.2,"Jim walks through an abandoned London, witnessing the aftermath of chaos and desolation."
28-Days-Later_Unknown,8,INT. CHURCH - NIGHT,0.2,0.1,0.0,"Jim enters a church quietly, finding the doors locked and another door open."
28-Days-Later_Unknown,9,INT. CHURCH - GALLERY LEVEL - NIGHT,0.7,0.6,-0.5,Jim discovers a gallery filled with dead bodies and encounters an Infected Priest.
28-Days-Later_Unknown,10,EXT. CENTRAL LONDON ROAD - NIGHT,0.8,0.7,-0.3,"Jim runs from the Infected as explosions occur around him, aided by Selena and Mark."
28-Days-Later_Unknown,11,INT. SHOP - NIGHT,0.1,0.0,0.2,"Selena and Mark have made a makeshift home in a shop, surrounded by remnants of the past."
28-Days-Later_Unknown,12,INT. NEWSAGENT - NIGHT,0.3,0.2,0.1,"Jim, Mark, and Selena discuss the aftermath of a viral outbreak in a newsagent, revealing the grim reality of their situation."
28-Days-Later_Unknown,13,EXT. TRAIN TRACKS - DAY,0.4,0.3,0.0,"As they walk along the train tracks, Jim discovers a dead man's face pressed against the window, prompting a panicked reaction."
28-Days-Later_Unknown,14,EXT. WESTLINK STREET - DAY,0.2,0.1,0.2,"Selena and Jim prepare to enter a potentially dangerous house, indicating a sense of foreboding."
28-Days-Later_Unknown,15,INT. HOUSE - DAY,0.5,0.4,-0.5,"Inside the house, Jim discovers the decomposed bodies of his parents, heightening the emotional and horror elements of the scene."
28-Days-Later_Unknown,16,INT. LIVING ROOM - DAY,0.3,0.2,-0.1,"Jim, Selena, and Mark discuss their traumatic experiences while trying to find safety. Mark shares a haunting memory of the chaos during their escape."
28-Days-Later_Unknown,17,INT. HOUSE - NIGHT,0.4,0.3,0.0,"Jim is awake in the dark house, watching Selena and Mark sleep. The silence of the night adds to the tension as he quietly leaves the room."
28-Days-Later_Unknown,18,INT. KITCHEN - NIGHT,0.5,0.4,-0.2,"Jim enters the kitchen and reminisces about his family. Suddenly, he senses danger as dark silhouettes appear outside, heightening the suspense."
28-Days-Later_Unknown,19,EXT. LONDON ROAD - NIGHT,0.6,0.5,-0.3,"Jim and Selena walk in silence, discussing the urgency of dealing with infected individuals. The tension escalates as they navigate their grim reality."
28-Days-Later_Unknown,20,INT. TOWER BLOCK - NIGHT,0.5,0.3,-0.2,"Jim and Selena enter a dark tower block filled with broken glass and dried blood, navigating through the eerie environment."
28-Days-Later_Unknown,21,INT. TOWER BLOCK - NIGHT,0.6,0.4,-0.1,"As Jim and Selena navigate the stairwell, they share a tense moment before a chilling scream echoes from below."
28-Days-Later_Unknown,22,INT. STAIRS - NIGHT,0.7,0.5,-0.3,"Jim and Selena sprint up the stairs, pursued by the Infected, heightening the sense of urgency and fear."
28-Days-Later_Unknown,23,INT. STAIRWELL - NIGHT,0.8,0.6,-0.4,"In a frantic encounter, Jim and Selena are confronted by a Man in Riot Cop Gear, escalating the tension as they flee."
28-Days-Later_Unknown,24,INT. CORRIDOR - NIGHT,0.7,0.5,-0.2,"Jim and Selena rush to a flat, only to find the door suddenly slam shut, heightening their sense of urgency and fear."
28-Days-Later_Unknown,25,INT. FLAT - NIGHT,0.5,0.3,0.1,"Inside the flat, Jim and Selena are welcomed by the Man and his daughter, Hannah, amidst a backdrop of normalcy that feels unsettling."
28-Days-Later_Unknown,26,INT. FLAT - LIVING ROOM - NIGHT,0.6,0.4,0.0,"The Man, Frank, reveals his gear and the remnants of violence, while Jim and Selena feel a mix of relief and unease in this strange sanctuary."
28-Days-Later_Unknown,27,INT. FLAT - NIGHT,0.4,0.2,0.2,"As they share a drink, Frank discusses the dangers outside, revealing the isolation and fear that has gripped their lives."
28-Days-Later_Unknown,28,INT. BATHROOM - NIGHT,0.2,0.1,0.2,"Jim is in the bathroom, cutting himself while shaving. Frank checks on him from outside, revealing the harsh living conditions."
28-Days-Later_Unknown,29,INT. FLAT - NIGHT,0.3,0.2,0.1,"Jim and Selena discuss their situation and the people they are with, revealing underlying tensions and concerns about survival."
28-Days-Later_Unknown,30,EXT. TOWER BLOCK ROOF - EARLY MORNING,0.4,0.1,0.0,"Frank and Jim discuss the dire water situation on the roof, highlighting their struggle for survival in a desolate environment."
