Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Alien,2006.0,R,117.0,"Horror, Sci-Fi",8.5,89.0,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright","953,207",The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,"1,399",The mother of all movies,"Back in early 20th century, Lumière brothers didn't have a clue of what they were playing with. I'm freaking sure that if somebody could have magically told them that thanks to their work, a movie like 'Alien' would have been made in the future, they both would have died of a sudden, shocked by the consequences of their labor, like an honest scientist would if he was shown an evil use of his research. In that sense, but in the best way imaginable, 'Alien' is the atomic bomb.In my opinion, 'Alien' is the only perfect movie in the history of cinema. Of course, this could be debatable, but of all the films I've watched since I was born, this is the only one in which I haven't been able to find the slightest flaw. It gets a golden ten out of ten. Bright, solid and massive.I could go on with a panegyric, but I'll try to be short and accurate:The direction is just perfect. Every shot is marvellous, every movement of the camera is breathtaking. There is absolutely nothing you could add or subtract. Touch it, and you spoil it. Seriously.The acting is splendid. The performances build a credible world centuries away. I don't know about you, but this take on the future was unveliabably acceptable. Sigourney Weaver is more than a revelation, John Hurt is a master, and the rest are nothing short of marvellous.The script is a work of art, the story is mesmerizing, well-constructed, well-developed, and free of absurd twists. Its simplicity and efectiveness are yet, 25 years after, to be matched.The atmosphere is pure genius. Gothic, claustrophobic and sometimes baroque. The use of light and dark is beyond description, the use of sound is as creepy as it gets.The FX are the best possible for 1979. In the time of the release, some scenes were stomach churning.The score. Jerry Goldsmith's work matches the images so perfectly it seems to bleed from them. It is and will be the best soundtrack for a sci-fi flick in space ever.The tagline. ""In space, no one can hear you scream"". THIS is a tagline.And, of course... the alien. The only alive creature that can steal Weaver the movie. Its design is the most innovative I've seen. It has spawned dozens of disgraceful imitations. This is the real deal. Not only the look, but the complete design of a life form, including biological features. Acid instead of blood. Jaws inside jaws. What more could you possibly want? This is how a movie is done.A very good sign of a movie that has gone down in history is the amount of collectively well remembered scenes. Well, 'Alien' has so many that I won't go into it. This movie contains so many iconic scenes that has become an icon itself.So, what else? I urge all young directors to watch this movie a zillion times, as I've already done, and take notes all along. But not in order to rip off from it, as many others have done, but to learn, learn, learn, learn and learn how a movie should be done. 'Casablanca'? You must be joking.Oh, I almost forget! There's a lovable cat in it.RATING: 10"
"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR1,0,140,209_AL_.jpg",The Silence of the Lambs,2006.0,A,118.0,"Crime, Drama, Thriller",8.6,86.0,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","1,551,542","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","1,373","""The Godfather"" of all thrillers","I've seen way too many thrillers. You name it: ""Identity"", ""Seven"", ""The Usual Suspects"", etc., etc., etc. I remember my friend being so obsessed with ""Silence of the Lambs"", that it drove me crazy. And I hated the movie naturally and refused to see it. But everyone told me that I have to see this, so I let my guard down. And had an open mind, and I'm glad I did. My friend was right, this is a great movie. It is so well acted, I couldn't even describe. I loved ""Silence of the Lambs"" and would recommend it to anyone. It's creepy and exciting. Trust me, you'll love it.10/10"
"https://m.media-amazon.com/images/M/MV5BOGJkY2EyOWYtYWRmNy00ZTEzLTllMDAtYzYzYjA0ZjFhZWJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg",Aliens,1995.0,U,137.0,"Action, Adventure, Sci-Fi",8.4,84.0,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser","764,536","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","1,222",This ain't a film.,"THE sci-fi movie. It's nearly perfect in every way: storyline, characters, menacing threat, suspense, action, direction, music, emotion, etc... It's always been a favorite of mine and still is. To me this is not just a film, it is an experience. The adrenaline pumps like in no other film and rarely have we had the chance to see a heroine as compelling as Sigourney Weaver. She can kick anyone's ass and still keep a heart and soul. (Why she didn't win the Oscar back in 1986 is beyond me.) When the action starts, you're in for the ride of your life. Truly a milestone in movie making. Now if they could only release it on DVD..."
"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Jurassic Park,1995.0,UA,127.0,"Action, Adventure, Sci-Fi",8.2,68.0,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","1,069,332",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"1,180",One of the greatest films ever made.,"I don't know why I loved this movie so much.  Maybe it was the utter amazement when I first saw the Brachiosaurus eat from a tree.  Or maybe it was my adrenaline rushing when two 12 year old were attacked by velociraptors.  It might possibly be the chills that went down my spine when the T-Rex first made his terrifying roar.  Whatever it was, it made me write this review.Allan Grant (Sam Neil) and Ellie (Laura Dern) are two successful paleontologists who are asked by a rich man John Hammond to come at his park for a major tour.  They agree and are taken to an island where ""Jurassic Park"" logos are everywhere.  The two paleontologists have no idea what they are getting themselves into.  The first dinosaur to make an apearance is the Brachiosaurus, which both of them are extrememly amazed by its giant apearance, and so is the audience.  What the two of them don't know is that there are much more terrifying and carnivorous dinosaurs who are about to escape and run loose....Directed by the mighty Steven Speilberg, Jurassic Park relied on more character development than any other creature-feature.  Usually you get second-rate actors who can't act, getting terrified by monsters that don't really exist.  Jurassic Park was the opposite.  It changed the way we looked at the world, and it will forever.  Based on the novel by Micheal Crichton, Jurassic Park was an amazing movie.From beginning to end, Jurassic Park bedazzled us with dinosaurs.  Dinosaurs that are EXTINCT.  There are a lot of cool cameos and the stars give great performances.  The whole family should watch this movie.  Not for the glossy title, but because of the dinosaurs.  I remember being a kid when I first watched it, and I remember loving this movie so bad.  The climax was excellent, and I am not saying what happens, unlike the sequel to this film (Jurassic Park 3).  A climax-less bad film, that was.  But this....this was magic.  And yes, it was a masterpiece.The magic of this film is what brought me into dinosaurs, too.  I had a ""Jurassic Park"" marathon today and I watched this movie, and I can still feel the magic.  You will feel the magic too once you see it.  I just have absolutely nothing to say except that Steven Speilberg will put a spell on you.  Even if you don't like creature-features, this movie will entertain you.  Steven Speilberg will take you to places that no one else ever will. And the ""life will find a way"" speech is here, ready to make someone feel that creating dinosaurs that have been extinct for millions of years is a good thing.Absolutely needless to say, Jurassic Park was a golden diamond.10/10 (One of the greatest films ever made)"
"https://m.media-amazon.com/images/M/MV5BODdkMDQzMzItZDc4YS00OGM4LTkxNTQtNjUzNzU0ZmJkMWY2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY209_CR0,0,140,209_AL_.jpg",Hellboy,2022.0,R,120.0,"Action, Adventure, Fantasy",5.3,31.0,Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane","99,192","Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge.","1,410","Love it, need more.","I strongly urge anyone that considers themselves a fan of #Hellboy, the comics, the characters and not just the #GuillermodelToro/#RonPerlman films, please go see this film. This is a very different take on these iconic characters and the world they inhabit and it is the most fun version that I've seen so far. Don't get me wrong, I loved GDT's films, the man crafts beautiful modern fairly tales and this film was smart no to try and replicate that. Instead, this movie has more in common with #SamRaimi's #ArmyOfDarkness, over the top violence and Gore, not for those with a weak stomach, and frequent profanity. #DavidHarbour does an excellent job and plays the role very differently than Perlman did and it has the potential to propel him from TV into a full time movie star. #IanMcShane brings his usual gravitas and presence to the role previously embodied by the late great #JohnHurt, again being smart to not emulate that performance and make this role entirely his own.I feel like this movie is suffering from the same disconnect and out of touch effect that critics had with last year's #Venom. Critics almost universally panned that film while audiences similarly loved it. Every negative review I've read for this so far continually compares it unfavorably to the previous films and many also take issues with the excessive use of violence, Gore and adult language. What did you expect, this is an R Rated film and is thoroughly advertised as such.I hope positive word of mouth from fans makes this successful as they set up some very cool stuff for a potential sequel.If you love these characters like I do, if you love balls to the wall, over the top action horror, please see this film."
"https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg",28 Days Later...,2022.0,A,113.0,"Drama, Horror, Sci-Fi",7.5,73.0,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer","446,912","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.","1,246",A modern classic.,"Perhaps I'm a little biased. After all, this is set in the city I live and work in, and seeing Oxford Street and Piccadilly Circus, which I pass by every morning and which are usually teeming with crowds of people, completely empty was enough to send shivers down my spine. Usually when you watch a movie like this it's located in some nondescript Midwestern village, which makes it easy to detach yourself from the events unfolding on screen. But seeing them occur in the place you call home is something that gives it an entirely new sense of reality, and one I was previously unaccustomed to.Still, judging 28 Days Later entirely on its merit as a film, it's easy to arrive at the conclusion that it's a fantastic achievement, as well as a coming-of-age of sorts for director Danny Boyle; I can't say the MTV-inspired vanity of The Beach, or the self-consciously trendy posturing of Trainspotting appealed to me, and to my shame I initially expected 28 Days Later to be given a similar treatment. Thankfully, my fears proved unfounded, discarded straight after a opening sequence which is at once effortless and fearsome. The rest of the movie was a joy. A terrifying joy, but a joy nonetheless.It's true that sometimes minimalism can be more effective than overblown bravado, and it's definitely true for this movie. It's the scenes of complete silence which get to you the most; an entire metropolis empty. The grainy picture serves to add a documentary-style quality to the film, which makes the whole situation seem almost too real to bear. Definitely a wise choice to film this on digital video.You will occasionally meet people who thought 28 Days Later wasn't 'scary' or 'gory' enough. These are the same people who will tell you that 2001 was 'boring', or that Memento was 'confusing'. Ignore them. Others didn't understand the purpose of the second half, or were confused by its change of pace, feeling that it distracted from the movie as a whole. However, I personally regard the second half as very important because, as another reviewer pointed out, it makes a very succinct point: What is scarier, the end of the world, or having the world repopulated by maniacs? That, I think, is where the real Horror of 28 Days Later lies.28 Days Later, like the Romero zombie flicks of yore, is ultimately an allegory of the days we are living in, an age in which we are constantly confronted with violence by the media (much like the ape right at the start of the film), where violence begets violence, and humanity faces an uncertain future. I applaud Danny Boyle's bravery in making 28 Days Later because he undoubtedly took a big commercial risk when the majority of the cinema-going public might prefer escapism to words of caution. Remember, Rage is a human-made disease. Quite the allegory there.Like most great masterpieces of their time, 28 Days Later has been misunderstood by a considerable amount of people. I have no doubt it will go down in history as a classic, the one movie which perfectly sums up the confused era we are living in. And even if you didn't like it, it would be advisable to give 28 Days Later another chance; it's a haunting experience when looked at from the right angle. Danny Boyle has many years left in him, I hope he'll continue making more movies like this."
"https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_UY209_CR0,0,140,209_AL_.jpg",A Quiet Place,1997.0,A,90.0,"Drama, Horror, Sci-Fi",7.5,82.0,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe","585,149",A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,"2,457",Love it!,I am Deaf. I realllllly enjoy it!! So it good for people who know sign Langurge and deaf. For deaf people have to watch that movie!!! So action and drama!!!
"https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_UY209_CR0,0,140,209_AL_.jpg",Get Out,1997.0,15+,104.0,"Horror, Mystery, Thriller",7.8,85.0,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener","699,435","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","1,534",Lives up to the hype,"I decided to see this film at the theater after hearing some of the hype (which was basically that it is an excellent horror film that is told from the perspective of a black man).Well, I can see this would be truly the worst nightmare of a black man (and really the worst nightmare for us all). This is NOT a film that tries to make the viewer feel ""sorry"" for black people, nor is it at all preachy, but it is just a good old fashioned horror film with a fresh new setting. I'm an old white guy by the way.The acting is wonderful, and directing is amazing. The film, while mostly horror, is actually completely hilarious in some parts, making it the funniest AND scariest movie I have seen in ages (no easy feat). It is a shame that the film will likely not be regarded in the company of Academy Award potential nominees, because the directing and acting is honestly Oscar worthy. Again, no small feat for a horror movie that is also funny.In summary, this is a MUST SEE at the theater and one of the best films of the year. It is a fun ride that is very well done!"
"https://m.media-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX140_CR0,0,140,209_AL_.jpg",It,1997.0,A,135.0,"Fantasy, Horror",7.3,69.0,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis","607,763","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","1,652",Terrifyingly brilliant. You'll float too.,"What persuaded me to watch this movie was the blessing bestowed upon it by the stories original creator, Stephen King, who claimed: ""I wasn't prepared for how good it really was"".He's not wrong.""IT"" is quite extraordinary. The attention to detail, the subtle but effective comedic undertone and the exquisite cinematography not only do the original title proud, they make this re-imagining of the original classic even better than its predecessor. It's a very scary film but what impressed me was how true the film sticks to the original's tricks; it isn't filled with loud in-your-face jump scares, in fact, a lot of what makes this film scary is the slick cinematography and intricate shadow play. The use of lighting and creation of atmosphere is what makes this film so tense, which is why it's perfectly suited for those who like Horror movies but without the obnoxious gore.Watched the pre-release as a critic - August 28th."
"https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",American Psycho,2023.0,A,102.0,"Crime, Drama, Horror",7.6,64.0,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage","717,819","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","1,253",A film that teeters between Miracles and Mania,"Having just finished American Psycho, I came to IMDB to get some clarification on the ending. And it seems I'm not the only one left vaguely adrift by the ambiguous ending.I've browsed some of your comments, not all 400+ to be sure. But some of them. A good sampling I think, and this movie has three distinct cheering sections.Those who consider it a masterpiece, those who consider it unredeemable, boring trash, and by far the largest segment, those who see it as a flawed masterpiece.I fall into the latter category. And no, I did not read the book. But as others have stated any movie that requires you to read the book, to ""get"" the movie, is ultimately a failure as a movie.So my review is based solely on the merits of the film. And contrary to what some have said, the film does have many merits. I found it brilliantly directed, and a superbly acted examination of excess, and boredom, and evil. An examination, satire, critique of a time, and type of thinking.
Even before seeing the ending, I thought how much bateman lives in people. Found myself thinking, an examination of bateman is an examination of men by the name of Reagan and Bush. How American Psycho is an examination of our times, and our modern theologies.I found the movie as a whole riveting, loved the restraint shown (and disagree with those calling for more gore, I think Mary should be applauded for her deft hand, the scenes have more power for what is not shown), and was captivated by nearly every scene, by scenes others have called boring, but I found profound.Bateman putting on his makeup, or simply trying to get a restaurant, and the near apocalyptic importance, such minutiae makes in the lives of empty men. The right card, or the right cloth, or the right table, or the right watch, how these are the signposts of an empty age and an empty soul, and how these things have more value than your fellow man... or woman.Bateman attains everything the materialistic times tells him he should want, but once he gets it he feels nothing. Emptier than before, less than before. It's only in the extremes of his addictions he begins to feel something, anything. He feeds to fill the emptiness, but the more he feeds the emptier he gets. He eats at his fellowman (woman) but in his bloodlust he eats at himself.He is the American dream, taken to its cannibalistic extremes.And never before has makeup, played such a mesmerizing part in a movie. Bateman's(Chris Bale's) face at times when he is under stress, takes on a plastic look, a glossy, sweaty sheen, and for all the world it looks like he's wearing a mask... and the mask, his mask of sanity, is beginning to run.Simply amazing use of makeup. And incredible performance by the lead actor. I wasn't familiar with him before this, but everyone will be after this.Upon first hearing about this movie, I had no desire to see it. I've grown up since the age of Hills Have Eyes and trash like The Beyond, watching people suffer no longer seems significant. I guess as we get older we ask more of our art than springer, or the WWF, or slasher flicks. We ask of our art to tell us something true. Something of ourselves, and our world.I think American Psycho under the deft hand of Mary Harron becomes more than my prejudices, and exceeds my expectations. Rises at times to dizzying heights not unlike art.Mary's restraint makes this movie. But I fear her restraint nearly sinks it as well. The ending is too ambiguous. Who is Bateman in the end. Is there a Bateman? And what did he do or did not do?In the end,the movie will nag at you. Did he or didn't he? And in the end, now that I write this I'm thinking maybe the answer doesn't really matter, maybe in the end the answer is the same. In the end a sin of thought, or a sin of action, is still a sin. In the end we are left with a man, and a nation... whose mask is slipping.
I think like the first Psycho, time will prove this one.... worthy. I now add Mary Harron to the small selection of modern directors I will tiptoe through broken glass to see. Directors like Dave Fincher(Seven, Fight Club), Carl Franklin(Devil in a Blue Dress), Johnny To(Expect the Unexpected), Ringo Lam(Full Alert, Victim), M. Night Shyamalan(Sixth Sense, Unbreakable), and Peter Weir(Fearless).Recommended."
